id_left,namecol_left,namealt_left,id_right,namecol_right,namealt_right,intersection_pct
bid,125th Street BID,NA,cc_upcoming,9,NA,100
bid,125th Street BID,NA,cd,109,NA,10.1
bid,125th Street BID,NA,dsny,MN09,109,10
bid,125th Street BID,NA,dsny,MN10,110,86.7
bid,125th Street BID,NA,dsny,MN11,111,3.3
bid,125th Street BID,NA,fb,11,NA,49.9
bid,125th Street BID,NA,fb,12,NA,50.1
bid,125th Street BID,NA,hc,11,NA,89.9
bid,125th Street BID,NA,nta,Central Harlem South,MN11,86.7
bid,125th Street BID,NA,nta,East Harlem North,MN34,3.3
bid,125th Street BID,NA,nta,Morningside Heights,MN09,10.1
bid,125th Street BID,NA,pp,25,NA,3.3
bid,125th Street BID,NA,pp,28,NA,86.7
bid,125th Street BID,NA,sa,68,NA,3.3
bid,125th Street BID,NA,sa,70,NA,96.7
bid,125th Street BID,NA,sd,5,NA,100
bid,125th Street BID,NA,zipcode,10027,NA,96.7
bid,125th Street BID,NA,zipcode,10035,NA,3.3
bid,14th Street BID,NA,cc,2,NA,82.7
bid,14th Street BID,NA,cc,3,NA,17.3
bid,14th Street BID,NA,cc_upcoming,2,NA,99.6
bid,14th Street BID,NA,cc_upcoming,3,NA,0.4
bid,14th Street BID,NA,cd,102,NA,23.3
bid,14th Street BID,NA,cd,105,NA,46.6
bid,14th Street BID,NA,cd,106,NA,13
bid,14th Street BID,NA,dsny,MN02,102,23.5
bid,14th Street BID,NA,dsny,MN03,103,17.3
bid,14th Street BID,NA,dsny,MN05,105,46.3
bid,14th Street BID,NA,dsny,MN06,106,12.9
bid,14th Street BID,NA,fb,6,NA,100
bid,14th Street BID,NA,hc,14,NA,41.8
bid,14th Street BID,NA,hc,15,NA,58.2
bid,14th Street BID,NA,hd,Ladies' Mile Historic District,NA,1.2
bid,14th Street BID,NA,nta,East Village,MN22,17.1
bid,14th Street BID,NA,nta,Gramercy,MN21,24.7
bid,14th Street BID,NA,nta,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,34.9
bid,14th Street BID,NA,nycongress,10,NA,61.2
bid,14th Street BID,NA,nycongress,12,NA,38.8
bid,14th Street BID,NA,pp,13,NA,59.6
bid,14th Street BID,NA,pp,6,NA,19.7
bid,14th Street BID,NA,pp,9,NA,20.7
bid,14th Street BID,NA,sa,66,NA,68
bid,14th Street BID,NA,sa,74,NA,32
bid,14th Street BID,NA,sd,2,NA,82.9
bid,14th Street BID,NA,ss,27,NA,40.4
bid,14th Street BID,NA,ss,28,NA,33.6
bid,14th Street BID,NA,ss,59,NA,26.1
bid,14th Street BID,NA,zipcode,10003,NA,82.7
bid,14th Street BID,NA,zipcode,10011,NA,17.3
bid,161st Street?BID,NA,cc,16,NA,58
bid,161st Street?BID,NA,cc,8,NA,42
bid,161st Street?BID,NA,cc_upcoming,16,NA,100
bid,161st Street?BID,NA,fb,14,NA,82.4
bid,161st Street?BID,NA,fb,17,NA,17.6
bid,161st Street?BID,NA,hc,22,NA,42.8
bid,161st Street?BID,NA,hc,23,NA,57.2
bid,161st Street?BID,NA,hd,Grand Concourse Historic District,NA,35.2
bid,161st Street?BID,NA,nta,East Concourse-Concourse Village,BX14,58
bid,161st Street?BID,NA,nta,West Concourse,BX63,42
bid,161st Street?BID,NA,sa,77,NA,11.7
bid,161st Street?BID,NA,sa,79,NA,48.8
bid,161st Street?BID,NA,sa,84,NA,39.5
bid,161st Street?BID,NA,sd,7,NA,57.2
bid,161st Street?BID,NA,sd,9,NA,42.8
bid,161st Street?BID,NA,ss,29,NA,40.4
bid,161st Street?BID,NA,ss,32,NA,59.6
bid,161st Street?BID,NA,zipcode,10451,NA,91.9
bid,161st Street?BID,NA,zipcode,10452,NA,8.1
bid,165th Street BID,NA,cc,24,NA,52.7
bid,165th Street BID,NA,cc,27,NA,47.3
bid,165th Street BID,NA,cc_upcoming,27,NA,100
bid,165th Street BID,NA,hc,44,NA,100
bid,165th Street BID,NA,ss,14,NA,100
bid,180th Street BID,NA,cd,412,NA,100
bid,180th Street BID,NA,ibz,Jamaica,NA,81.8
bid,180th Street BID,NA,nta,Jamaica,QN61,18.1
bid,180th Street BID,NA,nta,South Jamaica,QN01,81.9
bid,180th Street BID,NA,pp,103,NA,100
bid,180th Street BID,NA,ss,14,NA,100
bid,34th Street BID,NA,bid,Garment District,NA,0.6
bid,34th Street BID,NA,cc,2,NA,4.3
bid,34th Street BID,NA,cc,3,NA,73.7
bid,34th Street BID,NA,cc,4,NA,22
bid,34th Street BID,NA,cc_upcoming,3,NA,74.7
bid,34th Street BID,NA,cc_upcoming,4,NA,25.3
bid,34th Street BID,NA,cd,104,NA,32
bid,34th Street BID,NA,cd,105,NA,67.8
bid,34th Street BID,NA,cd,106,NA,0.3
bid,34th Street BID,NA,dsny,MN04,104,31.9
bid,34th Street BID,NA,dsny,MN05,105,67.8
bid,34th Street BID,NA,dsny,MN06,106,0.3
bid,34th Street BID,NA,fb,7,NA,87.7
bid,34th Street BID,NA,fb,8,NA,12.3
bid,34th Street BID,NA,hc,15,NA,100
bid,34th Street BID,NA,nta,Midtown-Midtown South,MN17,68
bid,34th Street BID,NA,pp,10,NA,11.2
bid,34th Street BID,NA,pp,14,NA,88.5
bid,34th Street BID,NA,sa,73,NA,9.6
bid,34th Street BID,NA,sa,75,NA,90.4
bid,34th Street BID,NA,ss,28,NA,63.7
bid,34th Street BID,NA,ss,47,NA,36.3
bid,34th Street BID,NA,zipcode,10001,NA,85.8
bid,34th Street BID,NA,zipcode,10018,NA,4.5
bid,34th Street BID,NA,zipcode,10122,NA,0.4
bid,34th Street BID,NA,zipcode,10123,NA,0.3
bid,47th Street BID,NA,cc_upcoming,4,NA,100
bid,47th Street BID,NA,hc,13,NA,100
bid,47th Street BID,NA,zipcode,10036,NA,100
bid,5th Avenue BID,NA,cc_upcoming,4,NA,100
